Primary_AC	Secondary_ACs
P31946	A8K9K2
P31946	E1P616
Q9CQV8	O70455
Q9CQV8	Q3TY33
Q9CQV8	Q3UAN6
P62258	B3KY71
P62258	D3DTH5
P62258	P29360
P62258	P42655
P62258	Q4VJB6
P62258	Q53XZ5
P62258	Q63631
P62258	Q7M4R4
P62259	P29360
P62259	P42655
P62259	Q63631
P68510	P11576
P68510	P70198
P68510	Q3TGZ9
P61981	O70457
P61981	P35214
P61981	Q6FH52
P61981	Q9UDP2
P61981	Q9UN99
P61982	O70457
P61982	P35214
P61982	Q3UFD6
P61982	Q4FK44
P61982	Q9UDP2
P61982	Q9UN99
P31947	Q6FH30
P31947	Q6FH51
P31947	Q96DH0
O70456	Q3TEZ1
P27348	D6W4Z5
P27348	Q567U5
P27348	Q5TZU8
P27348	Q9UP48
P68254	P35216
P68254	Q3TW69
P68254	Q3UJN5
P68254	Q5SP76
P68254	Q5U423
P68254	Q66JR6
P63104	A8K1N0
P63104	B7Z465
P63104	P29213
P63104	P29312
P63104	Q32P43
P63104	Q5XJ08
P63104	Q6GPI2
P63104	Q6IN74
P63104	Q6NUR9
P63104	Q6P3U9
P63104	Q86V33
P63101	P35215
P63101	P70197
P63101	P97286
P63101	Q3TSF1
P63101	Q5EBQ1
